Bus_No,Bus_type,Pg,Qg,Pl,Ql,Vmag,Delta,Qmin,Qmax,Vr,Vm,Psh,Qsh,Ir,Im,d_Ir_Vr,d_Ir_Vm,d_Im_Vr,d_Im_Vm,d_Ir_Q,d_Im_Q,delta_IR,delta_IM
51,1,0.0,0.0,0.9342,0.19212775416426256,1.0,0.0,0.0,0.0,1.0,0.0,-0.9342,-0.19212775416426256,-0.9342,0.19212775416426256,0.9342,-0.19212775416426256,-0.19212775416426256,-0.19212775416426256,0.0,-1.0,-1.8684,0.3842555083285251
52,1,0.0,0.0,0.38549999999999995,0.07807717536815087,1.0,0.0,0.0,0.0,1.0,0.0,-0.38549999999999995,-0.07807717536815087,-0.38549999999999995,0.07807717536815087,0.38549999999999995,-0.07807717536815087,-0.07807717536815087,-0.07807717536815087,0.0,-1.0,-0.7709999999999999,0.15615435073630174
53,1,1.9511,0.0,0.37070000000000003,0.07311279915803591,1.0,0.0,0.0,0.0,1.0,0.0,1.5804,-0.07311279915803591,1.5804,0.07311279915803591,-1.5804,-0.07311279915803591,-0.07311279915803591,-0.07311279915803591,0.0,-1.0,3.1608,0.14622559831607182
54,1,0.0,0.0,0.7117,0.1463683607778909,1.0,0.0,0.0,0.0,1.0,0.0,-0.7117,-0.1463683607778909,-0.7117,0.1463683607778909,0.7117,-0.1463683607778909,-0.1463683607778909,-0.1463683607778909,0.0,-1.0,-1.4234,0.2927367215557818
55,2,0.5,0.0,0.6524,0.13041312921755802,1.025,0.0,0.0,1.8,1.025,0.0,-0.15239999999999998,-0.13041312921755802,-0.14868292682926826,0.12723232118786149,0.14505651397977393,-0.1241290938418161,-0.1241290938418161,-0.1241290938418161,0.0,-0.9285994109197488,-0.2973658536585365,0.1333630874080975
56,1,0.5233,0.0,0.8896999999999999,0.18205314800510472,1.0,0.0,0.0,0.0,1.0,0.0,-0.36639999999999995,-0.18205314800510472,-0.36639999999999995,0.18205314800510472,0.36639999999999995,-0.18205314800510472,-0.18205314800510472,-0.18205314800510472,0.0,-1.0,-0.7327999999999999,0.36410629601020944
57,1,0.0,0.0,0.9045000000000001,0.18601964637291318,1.0,0.0,0.0,0.0,1.0,0.0,-0.9045000000000001,-0.18601964637291318,-0.9045000000000001,0.18601964637291318,0.9045000000000001,-0.18601964637291318,-0.18601964637291318,-0.18601964637291318,0.0,-1.0,-1.8090000000000002,0.37203929274582637
58,1,0.0,0.0,1.0083,0.20684489032568593,1.0,0.0,0.0,0.0,1.0,0.0,-1.0083,-0.20684489032568593,-1.0083,0.20684489032568593,1.0083,-0.20684489032568593,-0.20684489032568593,-0.20684489032568593,0.0,-1.0,-2.0166,0.41368978065137185
59,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
60,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
